BBB9,-5,0,-1,8511,-3059,-4482,773,-613,997,16697,3406,4,31
BBB9,-4,-1,0,8154,-4471,-2187,980,-196,1000,16685,3406,2,31
BBB9,-2,0,1,8930,-2678,672,1097,107,758,16657,3406,1,31
BBB9,-1,0,1,9755,53,1209,1143,197,562,16624,3406,1,31
BBB9,-3,0,-1,10389,463,-177,1143,269,434,16575,3406,1,31
BBB9,-4,-2,0,11254,-80,994,1149,311,236,16522,3406,0,31
BBB9,-5,-3,0,12737,1451,2697,1193,140,84,16472,3406,2,31
BBB9,-7,25,-38,24636,1915,2616,1197,-87,225,16306,3406,166,31
BBB9,2,44,-229,-25003,21125,-25020,652,-57,1331,16428,3406,4051,31
BBB9,-8,-37,-129,24994,-25001,24184,298,-7,1486,16271,3406,4053,31
BBB9,-98,-19,13,-25003,24997,24977,-189,970,880,16103,3406,4055,31
BBB9,-42,2,-38,24994,22963,24977,-368,439,1327,16027,3406,4026,31
BBB9,-85,-4,-65,-25003,24848,24977,-282,-42,1451,15967,3406,4046,31
BBB9,-70,98,-119,24994,24996,24977,792,-244,1203,16007,3393,3943,31
BBB9,-63,17,-76,24994,-18616,24977,272,-151,1468,15822,3393,4052,31
BBB9,-63,1,-82,17488,-5727,24977,376,-80,1446,15753,3393,4038,31
BBB9,-62,24,-91,22185,-5150,24977,455,-236,1399,15637,3381,4039,47
BBB9,-58,25,-81,20461,-7409,24977,554,10,1362,15562,3381,4042,47
BBB9,-50,31,-79,24288,-6066,24977,612,16,1347,15457,3381,4046,47
BBB9,-45,25,-83,23422,-4625,24977,406,95,1430,15341,3375,4054,47
BBB9,-44,28,-84,23834,-4258,24977,351,-241,1426,15245,3375,4040,63
BBB9,-46,28,-108,24995,-20493,24977,890,-304,1027,15098,3375,3946,63
BBB9,-58,24,-104,24995,-14992,24977,548,17,1360,15022,3356,4055,63
BBB9,-79,26,-92,24995,-18210,24977,702,-465,1167,14955,3356,3943,63
BBB9,-93,21,-85,24995,-15408,24977,742,39,1234,14889,3356,4049,63
BBB9,-107,18,-81,24995,-12158,24977,320,-167,1480,14811,3356,4048,63
BBB9,-113,19,-75,24995,-12513,24977,466,-496,1302,14736,3350,3950,63
BBB9,-120,16,-65,24995,-12357,24977,754,-196,1254,14681,3350,4036,63
BBB9,-125,14,-66,24995,-13365,24977,329,49,1474,14625,3350,4053,63
BBB9,-127,5,-65,24994,-15097,24977,385,129,1453,14525,3337,4053,79
BBB9,-124,7,-66,22851,-12391,24977,176,-309,1455,14471,3337,4039,79
BBB9,-120,8,-65,24994,-10268,24977,662,-340,1275,14422,3337,3984,79
BBB9,-115,9,-63,24994,-14059,24977,495,101,1420,14370,3337,4050,79
BBB9,-113,10,-59,24994,-16144,24977,143,-151,1517,14325,3325,4052,79
BBB9,-105,11,-61,24965,-14219,24977,499,-495,1290,14272,3325,3970,79
BBB9,-100,9,-62,24994,-11906,24977,616,98,1376,14209,3325,4049,79
BBB9,-96,13,-65,24994,-11310,24977,176,-259,1487,14160,3325,4040,79
BBB9,-93,13,-65,24994,-11472,24977,733,-353,1214,14129,3312,3979,79
BBB9,-88,14,-70,24994,-12506,24977,413,120,1442,14072,3312,4054,79
BBB9,-90,13,-68,24994,-11677,24977,375,-491,1370,14002,3312,3994,79
BBB9,-89,12,-66,24994,-12614,24977,761,-8,1230,13943,3312,4042,79
BBB9,-83,14,-68,24994,-11553,24977,243,25,1479,13889,3300,4055,79
BBB9,-80,13,-66,24994,-11504,24977,352,-490,1262,13837,3300,3951,79
BBB9,-78,13,-70,24994,-10822,24977,586,144,1337,13779,3300,4049,79
BBB9,-78,15,-67,24994,-10802,24977,284,-420,1403,13733,3300,4021,79
BBB9,-74,11,-67,24994,-8877,24977,788,-86,1210,13671,3287,4031,79
BBB9,-73,14,-65,24994,-9033,24977,218,-106,1508,13620,3287,4048,79
BBB9,-68,17,-72,24995,-11320,24977,799,-349,1143,13580,3287,3976,79
BBB9,-68,19,-66,24994,-10783,24977,471,82,1424,13524,3287,4056,79
BBB9,-66,23,-69,24994,-10356,24977,528,-539,1244,13466,3275,3942,79
BBB9,-64,16,-73,24994,-8886,24977,653,134,1288,13401,3275,4050,79
BBB9,-59,13,-77,24994,-10455,24977,440,-463,1334,13349,3275,3990,79
BBB9,-59,14,-77,24994,-8495,24977,732,107,1253,13294,3275,4051,79
